datasets,scores
Tokyo,0.8953076120959335
Connectionist Bench,0.801923076923077
Ionosphere,0.8301994301994301
Pima Indians Diabetes Database,0.6666666666666666
Heart Disease,0.8169747899159664
Statlog (German Credit Data),0.6684
electricity,0.69688
pol,0.9496199999999999
house_16H,0.7961600000000001
MagicTelescope,0.9340200000000001
bank-marketing,0.846
MiniBooNE,0.8392799999999999
Higgs,0.5204
tic-tac-toe,0.8144050104384134
eeg-eye-state,0.8454799999999999
kc2,0.7877394636015327
spambase,0.8664203434036079
PhishingWebsites,0.94442
climate-model-simulation-crashes,0.8718518518518519
