DAE,DAE_Dynamic_TYPE_LIGHTNING,features_amounts
0.9543089930247668,0.9531279885942416,34
0.9535418767788222,0.9514726844822429,33
0.9544662505862732,0.9496262300222339,32
0.9543107366954452,0.9472234607778723,31
0.9540903125956227,0.9500086978304285,30
0.9512362103059997,0.9467162539121464,29
0.9492170937368417,0.9400711518086646,28
0.9478903812153764,0.9443118280508495,27
0.9527853069974149,0.9385603634837659,26
0.9414570900164521,0.9402158510509823,25
0.9335385740917337,0.93560925946386,24
0.9367056558294659,0.9271794944804876,23
0.9346802711131599,0.9314009420013661,22
0.9282444444620191,0.9220949247912777,21
0.9273535082812462,0.9313169214760124,20
0.9170931081672771,0.919335403971151,19
0.921691135855189,0.9145896866427871,18
0.9185760576909405,0.904335059586856,17
0.912675281577655,0.9051017334146323,16
0.9186349182411166,0.8928499981979403,15
0.9145310299707919,0.8895022206818359,14
0.9023124056883545,0.8736537023496307,13
0.8956790963135612,0.8508666263053625,12
0.8817872689543739,0.8871214427479531,11
0.8622833305154195,0.8533981227937874,10
0.8578629723521434,0.8526587105620369,9
0.8448351702305766,0.8371073225921061,8
0.831063176081293,0.8010668624075381,7
0.8240298664019219,0.797994870694777,6
0.8016548501720347,0.7816715414316248,5
0.7999271462514741,0.7467830053396479,4
0.7264880014224706,0.729063805345328,3
0.6855676885741278,0.6810290178011108,2
0.6238246659924984,0.6220966179261792,1
