Features,Original,Reconstructed,Difference
0,0.085545726,0.066739656,0.01880607
1,0.16330904,0.006486632,0.15682241
2,0.10315374,-0.0035667503,0.10672049
3,0.0038077107,0.027650075,-0.023842365
4,0.16395526,0.053411014,0.11054424
5,0.41469195,0.052610166,0.3620818
6,0.5037702,0.05926274,0.44450742
7,0.4094436,0.04911366,0.36032993
8,0.3753887,0.053421713,0.321967
9,0.5303944,0.098230466,0.4321639
10,0.4978077,0.13644896,0.36135876
11,0.63116837,0.07806803,0.55310035
12,0.4132719,0.07313983,0.34013206
13,0.24330291,0.020226382,0.22307652
14,0.15245843,-0.008914901,0.16137333
15,0.15552358,-0.008334378,0.16385797
16,0.24961144,-0.0023209974,0.25193244
17,0.43646753,0.029542172,0.40692535
18,0.6203804,-0.00071125804,0.62109166
19,0.69541955,0.013293318,0.6821262
20,0.7902614,0.05757524,0.73268616
21,0.7770379,0.031776212,0.7452617
22,0.87209916,0.030379813,0.8417193
23,1.0,0.067957416,0.9320426
24,0.9859448,0.014304496,0.9716403
25,0.9420641,0.038396236,0.90366787
26,0.9447421,0.087559395,0.8571827
27,0.92714316,0.06913434,0.8580088
28,0.82547957,0.071638115,0.75384146
29,0.5873379,0.0021276455,0.58521026
30,0.3585831,-0.022493575,0.38107666
31,0.27162436,0.001238428,0.27038592
32,0.17212379,-0.021364857,0.19348864
33,0.21446384,-0.08349745,0.2979613
34,0.20456173,-0.06459984,0.26916158
35,0.12570564,-0.028786413,0.15449205
36,0.015573591,-0.037417144,0.052990735
37,0.025832692,0.00096702203,0.02486567
38,0.10010661,0.0060712527,0.09403536
39,0.13831776,0.023489328,0.11482844
40,0.056282572,-0.0049253292,0.0612079
41,0.12197802,0.037513647,0.08446437
42,0.19540533,0.07433779,0.12106755
43,0.22126016,0.05984708,0.16141307
44,0.28678483,0.057109397,0.22967543
45,0.3079715,0.054808162,0.25316334
46,0.34703615,0.06956969,0.27746648
47,0.3817465,0.09573057,0.28601593
48,0.29350105,0.08689999,0.20660105
49,0.21611722,0.048070796,0.16804641
50,0.12864321,0.01356443,0.115078785
51,0.20256776,0.027932879,0.17463487
52,0.1994382,-0.035733707,0.23517191
53,0.056047197,-0.00755585,0.06360304
54,0.07029478,-0.00030545425,0.070600234
55,0.17179488,0.027593298,0.14420158
56,0.10511363,0.0047892444,0.10032439
57,0.013729977,0.025542928,-0.0118129505
58,0.03939394,0.0016191639,0.037774775
59,0.18055555,0.021639459,0.15891609
