Features,Original,Reconstructed,Difference
0,1.0,0.70171696,0.29828304
2,0.578963,0.24194466,0.3370183
3,-0.059596825,-0.17595182,0.116355
4,0.00081620243,0.30435017,-0.30353397
5,0.6843274,-0.17724442,0.86157185
6,0.72647303,0.36033484,0.3661382
7,-0.9965882,-0.3001638,-0.69642437
8,0.8092655,0.41607,0.39319548
9,-0.0043552583,-0.2677977,0.26344246
10,0.845249,0.43898955,0.40625945
11,-0.14789149,-0.25222316,0.10433167
12,0.9371138,0.5037092,0.43340462
13,-0.06788058,-0.16350482,0.095624246
14,0.8331542,0.5073351,0.32581908
15,-0.045585845,-0.26610568,0.22051984
16,0.73102194,0.49948576,0.23153618
17,-0.60860157,-0.048524953,-0.5600766
18,0.78525496,0.5111768,0.27407813
19,-0.20423734,-0.029296983,-0.17494036
20,0.82452255,0.5243196,0.30020297
21,0.41407678,0.07032176,0.343755
22,0.64165777,0.4924822,0.14917558
23,-0.010871364,-0.0047706943,-0.0061006695
24,0.7596828,0.3954128,0.36426997
25,0.09429717,0.0052028485,0.089094326
26,0.62877035,0.32574257,0.30302778
27,0.031018957,0.06689012,-0.035871163
28,1.0495186,0.40437794,0.64514065
29,0.2937505,-0.02170426,0.31545475
30,0.7069522,0.39123315,0.31571907
31,-0.1617602,0.003079038,-0.16483924
32,0.96345544,0.43275365,0.53070176
33,-0.3157911,-0.09061368,-0.22517742
