Features,Original,Reconstructed,Difference
0,1.0,0.9726305,0.0273695
1,1.0,0.9718036,0.028196394
2,1.0,0.97011286,0.02988714
5,1.0,0.90019006,0.099809945
8,1.0,0.73681587,0.26318413
14,1.0,0.08435656,0.91564345
16,1.0,0.0072555467,0.99274445
21,1.0,0.5572075,0.44279248
27,1.0,0.14935803,0.85064197
33,1.0,0.55023116,0.44976884
36,1.0,0.28965095,0.7103491
41,1.0,0.31971627,0.6802837
45,1.0,0.82811046,0.17188954
47,1.0,0.3085957,0.69140434
50,0.073529415,-0.20958786,0.28311726
51,0.06043956,-0.22386582,0.2843054
52,0.26785713,0.005439369,0.26241776
