Features,Original,Reconstructed,Difference
9,1.0,-0.016235396,1.0162354
10,1.0,0.26712692,0.7328731
14,1.0,0.27387404,0.72612596
17,1.0,0.48142713,0.51857287
21,0.5055652,0.08628398,0.41928124
22,8.187277e-05,-0.036358286,0.03644016
23,9.70393e-05,-0.026239706,0.026336746
24,0.090077974,0.28173146,-0.19165349
25,4.5295388e-07,0.040433057,-0.040432602
26,2.563831e-06,0.024792243,-0.02478968
27,0.24995929,0.16335674,0.08660255
28,1.0757729e-05,0.01295682,-0.012946063
29,1.2584595e-05,0.025350481,-0.025337897
30,0.10426639,0.3429864,-0.23872001
31,8.966394e-08,-0.0052229054,0.0052229953
32,3.3606366e-07,0.04842159,-0.048421256
33,0.24614199,0.1342882,0.11185378
34,0.7831563,0.24760705,0.5355492
35,0.5293807,0.1785615,0.35081917
36,0.17396869,0.10001504,0.07395365
37,0.06967626,0.19362047,-0.123944215
38,0.6176964,0.017350446,0.60034597
39,0.8218494,0.109081484,0.7127679
41,0.69059783,0.2950227,0.39557514
42,0.5817096,0.33605272,0.24565691
43,0.502889,0.27041084,0.23247814
44,0.62475014,0.28201675,0.34273338
45,0.7147099,0.31658366,0.3981262
46,0.35173553,0.22278361,0.12895192
47,0.25208074,0.28826883,-0.036188096
48,0.51256704,0.2557855,0.25678155
49,0.013321864,0.09806471,-0.08474285
50,0.118382454,0.17520612,-0.05682367
51,0.017246325,0.109637626,-0.0923913
52,0.016096843,0.15558475,-0.1394879
53,0.11450111,0.11576441,-0.0012632981
54,0.016248373,0.12679139,-0.11054301
56,0.89282185,0.030929452,0.8618924
58,0.7916179,0.15562409,0.6359938
59,0.69671637,0.081258446,0.6154579
