Features,Original,Reconstructed,Difference
0,0.08936826,0.14765339,-0.058285125
1,0.15934539,0.09522271,0.06412268
2,0.09990109,0.09242065,0.007480435
3,0.0040447298,0.10197943,-0.0979347
4,0.16586356,0.09943057,0.06643299
5,0.46156743,0.05662953,0.4049379
6,0.53402615,0.0789635,0.45506263
7,0.4094436,0.11379229,0.2956513
8,0.3753887,0.10468646,0.27070224
9,0.47413793,0.10428262,0.3698553
10,0.4978077,0.048964754,0.44884294
11,0.5131887,0.07818566,0.43500304
12,0.41985962,0.05784884,0.36201078
13,0.16504048,0.062153805,0.10288668
14,0.1305006,0.06323294,0.06726766
15,0.17771274,0.096757434,0.080955304
16,0.22412685,0.079335004,0.14479184
17,0.43646753,0.062273014,0.3741945
18,0.6203804,0.08270251,0.5376779
19,0.69541955,0.075710915,0.61970866
20,0.7902614,0.06276371,0.7274977
21,0.78775173,0.057518065,0.73023367
22,0.87209916,0.07480229,0.7972969
23,1.0,0.038237493,0.9617625
24,0.986168,0.089499645,0.8966684
25,0.9420641,0.049539324,0.8925248
26,0.9447421,0.06952917,0.8752129
27,0.9294977,0.07210916,0.85738856
28,0.82547957,0.069195665,0.7562839
29,0.5873379,0.0535868,0.53375113
30,0.31823447,0.06424751,0.25398695
31,0.27162436,0.068091564,0.20353279
32,0.20508452,0.048283633,0.15680088
33,0.20637529,0.08554846,0.120826825
34,0.20456173,0.04134805,0.16321367
35,0.12670189,0.0558861,0.07081579
36,0.018747242,0.06833492,-0.049587682
37,0.025832692,0.0956393,-0.06980661
38,0.10402293,0.07590716,0.028115764
39,0.13594267,0.054566033,0.081376635
40,0.056282572,0.097328,-0.041045427
41,0.12197802,0.093004085,0.028973937
42,0.2119488,0.083499394,0.12844941
43,0.24684359,0.04786526,0.19897833
44,0.3233561,0.11372982,0.20962627
45,0.32021394,0.091269135,0.22894481
46,0.35566825,0.060655918,0.29501233
47,0.38933814,0.08227104,0.3070671
48,0.31953558,0.10022877,0.21930681
49,0.23491655,0.06783958,0.16707698
50,0.13645418,0.037674874,0.098779306
51,0.19683908,0.104321845,0.092517234
52,0.18441558,0.09862702,0.085788555
53,0.064327486,0.089801714,-0.025474228
54,0.06944445,0.079696916,-0.010252468
55,0.20807454,0.07295661,0.13511793
56,0.11821086,0.07398714,0.04422372
57,0.01604278,0.11928604,-0.10324326
58,0.04778157,0.13443755,-0.086655974
59,0.3511111,0.06461645,0.28649467
