Features,Original,Reconstructed,Difference
0,1.0,1.0,0.0
2,-0.31250435,0.08317822,-0.39568257
3,-0.09229202,0.03191285,-0.12420487
4,-0.37002382,0.11236811,-0.48239192
5,-0.030814804,-0.011178087,-0.019636717
6,-0.086236894,0.12815996,-0.21439685
7,-0.07214806,0.044835716,-0.11698378
8,-0.109671794,0.058354296,-0.16802609
9,-0.43500677,0.045897063,-0.48090383
10,-0.21378744,0.05661698,-0.27040443
11,-0.5593467,0.023850352,-0.583197
12,0.09149052,0.043039992,0.04845053
13,-0.09248673,0.09209482,-0.18458155
14,0.24020313,0.042205032,0.19799809
15,-0.10466167,-0.0035895687,-0.1010721
16,-0.082737185,0.036312573,-0.11904976
17,0.39783487,0.028957706,0.36887717
18,0.09306146,0.06263414,0.030427322
19,0.2892271,-0.006804697,0.2960318
20,0.13088217,0.02768024,0.10320193
21,-0.18298379,0.010616258,-0.19360004
22,-0.10213612,0.007534245,-0.10967036
23,-0.08377419,0.026367174,-0.11014136
24,0.1557086,0.03131006,0.12439854
25,0.12995014,0.016901061,0.113049075
26,-0.29405645,-0.05532519,-0.23873125
27,0.22113325,0.04419151,0.17694174
28,0.012450692,0.043037817,-0.030587126
29,0.11053524,-0.0117898155,0.122325055
30,-0.02806747,0.033354364,-0.061421834
31,0.28377804,0.018059233,0.26571882
32,0.194776,0.059780795,0.1349952
33,0.35284558,-0.016960515,0.36980608
