Features,Original,Reconstructed,Difference
1,1.0,1.0,0.0
10,1.0,1.0,0.0
14,1.0,1.0,0.0
17,1.0,1.0,0.0
21,0.010103176,0.41555855,-0.40545538
22,5.237618e-07,0.29138684,-0.2913863
23,8.274083e-07,0.25763318,-0.25763234
24,0.0041202395,0.41412845,-0.41000822
25,0.00010960932,0.19708142,-0.1969718
26,0.00010325011,0.19315763,-0.19305438
27,0.016969671,0.40032834,-0.38335866
28,1.8103576e-07,0.22967009,-0.22966991
29,3.2665454e-07,0.23341724,-0.23341691
30,0.004162331,0.34420985,-0.3400475
31,1.3936742e-05,0.19537798,-0.19536404
32,1.2863613e-05,0.19072981,-0.19071695
33,0.0006417557,0.34220588,-0.34156412
34,0.0046735704,0.32308084,-0.31840727
35,0.0074908966,0.34892857,-0.34143767
36,0.0019142099,0.31695524,-0.31504104
38,0.031279415,0.42916274,-0.39788333
39,0.002719856,0.3778987,-0.37517884
41,0.003477968,0.2986027,-0.29512474
42,0.011220366,0.32450476,-0.3132844
43,0.0019706031,0.27129093,-0.26932034
44,0.0043900856,0.31137955,-0.30698946
45,0.0039900527,0.30831632,-0.30432627
46,0.004087962,0.31839165,-0.3143037
47,0.008885549,0.32777223,-0.31888667
48,0.00990099,0.30679512,-0.29689413
49,0.0047468524,0.3041642,-0.29941735
50,0.03532142,0.25986773,-0.22454631
51,0.0058835926,0.3342448,-0.32836118
52,0.002931288,0.35259947,-0.34966817
53,0.012465948,0.26258844,-0.2501225
54,0.00505426,0.297507,-0.29245272
56,0.015777837,0.43239567,-0.41661784
58,0.011812994,0.3520336,-0.3402206
59,0.008132764,0.39278954,-0.3846568
