num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
11,1.0,0.3735,0.8160000000000001,0.8855000000000001,1.0,1.0,0.9994999999999999,1.0,1.0,1.0
10,0.9672499999999999,0.4368,0.81735,0.8712500000000001,0.9672499999999999,1.0,0.9316500000000001,0.9672499999999999,1.0,0.9672499999999999
9,0.9672499999999999,0.51665,0.80515,0.82,0.9344999999999999,0.9344999999999999,0.8642999999999998,1.0,0.9344999999999999,1.0
8,0.9672499999999999,0.5846499999999999,0.7749499999999999,0.8444,0.90175,0.9344999999999999,0.79695,0.9017499999999998,0.9344999999999999,0.9344999999999999
7,0.90175,0.63585,0.7938,0.8145999999999999,0.869,0.869,0.7299499999999999,0.8362499999999999,0.9017499999999998,0.8362499999999999
6,0.8035,0.7489999999999999,0.7774000000000001,0.83735,0.869,0.8690000000000001,0.7965,0.869,0.9017499999999998,0.83625
5,0.83625,0.7281500000000001,0.8295,0.82325,0.8362499999999999,0.8035,0.5952999999999999,0.869,0.77075,0.7380000000000001
4,0.738,0.73205,0.7861,0.7883,0.8035,0.8035,0.3944500000000001,0.8690000000000001,0.8035,0.77075
3,0.77075,0.7501,0.71845,0.7675500000000001,0.6725000000000001,0.738,0.3944500000000001,0.77075,0.70525,0.738
2,0.70525,0.72405,0.6948000000000001,0.7219,0.70525,0.70525,0.3944500000000001,0.77075,0.7380000000000001,0.738
1,0.70525,0.6754500000000001,0.71345,0.7397499999999999,0.70525,0.70525,0.4614,0.6725000000000001,0.6725000000000001,0.7380000000000001
