num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
11,1.0,0.9854127529158034,0.9116717273475411,0.9745645449643859,1.0,1.0,0.9999988648940097,0.9999999999999998,1.0,1.0
10,0.95,0.9682985328755074,0.9126072817049293,0.9494785890632539,0.9843043219160588,1.0,0.9914610516757003,0.9787475240500582,1.0,0.9876755299526092
9,0.95,0.95958920514203,0.8858473849995745,0.885056670166577,0.9686086438321178,0.906918925054627,0.9825132381736147,1.0,0.9,1.0
8,0.95,0.9306650018445474,0.812143590907801,0.9032664945089248,0.9266290189846476,0.9069195493629216,0.9509728993444764,0.9349405488237463,0.9,0.9584264593206392
7,0.85,0.9541221941598798,0.8240549958852407,0.8327086466698829,0.8717586764664149,0.8034600868356083,0.9476807514401658,0.761744430886234,0.85,0.9167908283435967
6,0.7,0.8478132183092597,0.7734635489088794,0.8772922614149096,0.8917938647521211,0.8069183007463321,0.8999246289622294,0.9019895570248873,0.85,0.8674365333863049
5,0.75,0.8679043673202985,0.8744868469593348,0.8684483101109567,0.8603063651068419,0.7103815091234144,0.8569160872896507,0.8325791878316637,0.65,0.7964291268197168
4,0.6,0.8819958568631344,0.8360849626833906,0.8018145804364483,0.774191492380601,0.7069164278214478,0.6924657907432106,0.7910782939356963,0.7,0.7764196486846959
3,0.65,0.804450183035841,0.6844787309515026,0.7350806776582763,0.6170012769942393,0.6103758903487613,0.7168203410993502,0.7673316495927807,0.55,0.7686034223445614
2,0.55,0.7225465535344363,0.6021576662220836,0.6493992451545164,0.716324299781492,0.5569164278214478,0.7117889270410623,0.6967817474956725,0.6,0.6601767360027242
1,0.55,0.5581680524418967,0.621719628820341,0.6607255597491417,0.6119947217571441,0.55,0.6925689151224496,0.4904089219330855,0.5,0.6380562445018303
