num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
53,0.755,0.72,0.745,0.7699999999999999,0.78,0.75,0.745,0.745,0.755,0.78
52,0.755,0.7334999999999999,0.745,0.7675000000000001,0.78,0.7495,0.745,0.746,0.7545,0.7770000000000001
51,0.7515000000000001,0.7314999999999999,0.744,0.7660000000000001,0.7775000000000001,0.752,0.745,0.742,0.756,0.77
50,0.7499999999999999,0.7299999999999999,0.745,0.7629999999999999,0.769,0.7535000000000001,0.745,0.7455,0.7525000000000001,0.765
49,0.75,0.7355,0.745,0.7665,0.767,0.753,0.745,0.7484999999999999,0.7539999999999999,0.7515000000000001
48,0.752,0.7334999999999999,0.745,0.7595000000000001,0.7665,0.755,0.745,0.748,0.7484999999999999,0.7705
47,0.75,0.736,0.7445,0.768,0.7585,0.75,0.745,0.7405,0.7390000000000001,0.7775000000000001
46,0.748,0.7335,0.7445,0.7645,0.7555,0.7529999999999999,0.745,0.746,0.75,0.7615000000000001
45,0.748,0.7365,0.7455,0.76,0.7515000000000001,0.7445,0.745,0.7509999999999999,0.7455,0.75
44,0.755,0.7399999999999999,0.745,0.7595,0.7535000000000001,0.7565,0.745,0.748,0.7490000000000001,0.7569999999999999
43,0.755,0.7415,0.745,0.769,0.7695,0.7535000000000001,0.745,0.751,0.7255,0.7500000000000001
42,0.7464999999999999,0.747,0.746,0.7499999999999999,0.7535000000000001,0.7410000000000001,0.745,0.7470000000000001,0.7464999999999999,0.7505000000000001
41,0.7505,0.7415,0.745,0.7650000000000001,0.7565000000000001,0.746,0.745,0.7460000000000001,0.743,0.7605000000000002
40,0.7459999999999999,0.7434999999999999,0.745,0.7565,0.7444999999999999,0.7550000000000001,0.745,0.7465,0.7350000000000001,0.7435
39,0.751,0.7384999999999999,0.745,0.751,0.756,0.7425,0.745,0.7470000000000001,0.746,0.7555000000000001
38,0.744,0.747,0.745,0.7585000000000001,0.75,0.746,0.745,0.75,0.74,0.7505
37,0.7455,0.734,0.745,0.7535000000000001,0.7605000000000001,0.7555,0.745,0.7460000000000001,0.7495,0.7345
36,0.7444999999999999,0.7405,0.745,0.757,0.7515000000000001,0.749,0.745,0.746,0.7354999999999999,0.74
35,0.749,0.7425,0.745,0.7565000000000001,0.748,0.7435,0.745,0.749,0.7364999999999999,0.7565
34,0.7425,0.733,0.745,0.7595,0.746,0.7500000000000001,0.745,0.744,0.745,0.7369999999999999
33,0.739,0.7300000000000001,0.745,0.7505000000000001,0.7455,0.7525000000000001,0.745,0.745,0.7460000000000001,0.7469999999999999
32,0.7340000000000001,0.7245,0.7445,0.755,0.7505,0.7484999999999999,0.745,0.746,0.7405,0.748
31,0.7465,0.7125,0.745,0.747,0.749,0.747,0.745,0.745,0.7394999999999999,0.7264999999999999
30,0.7405,0.7395,0.745,0.7499999999999999,0.7445,0.7344999999999999,0.745,0.7475,0.727,0.723
