num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5355171355498721,0.9365565217391307,0.9273329923273657
13,0.5603190792838875,0.8927814322250638,0.8906831713554988
12,0.5485210230179028,0.843313452685422,0.878782199488491
11,0.5655040920716112,0.8040566240409207,0.8535123273657289
10,0.5658570332480818,0.8126433759590792,0.8544528388746804
9,0.5683384654731458,0.7099363171355499,0.820385063938619
8,0.5584211764705882,0.7045757033248081,0.8005824040920716
7,0.5314132992327365,0.6753467007672634,0.7287254731457801
6,0.5604539130434782,0.6001238874680306,0.7058670076726343
5,0.5223349872122762,0.6530410230179028,0.658712378516624
4,0.535359283887468,0.6784340153452686,0.6177040409207162
3,0.5204301790281329,0.6004736061381075,0.5882640920716112
2,0.5473709974424553,0.5488561125319693,0.5734096675191817
1,0.5366111508951406,0.5301090025575448,0.5589804603580564
