num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5759999999999998,0.867,0.8484999999999999
13,0.5763999999999999,0.8448499999999999,0.76525
12,0.5775,0.7549,0.72815
11,0.5782499999999999,0.6818500000000001,0.72615
10,0.5812499999999999,0.6969,0.6704
9,0.5775,0.6708000000000001,0.7341500000000001
8,0.5744499999999999,0.6426499999999999,0.6629
7,0.57465,0.6683,0.6551
6,0.5692,0.6122,0.62015
5,0.57975,0.6027000000000001,0.67835
4,0.58125,0.60795,0.6169
3,0.57785,0.5923999999999999,0.6180000000000001
2,0.5802,0.60745,0.5885
1,0.5776,0.588,0.5885
