num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
26,0.8019999999999999,0.688,0.6775,0.7140000000000001,0.9549999999999998,0.9865,0.9890000000000001,0.9559999999999998,0.9570000000000001,0.9884999999999999
25,0.7881999999999999,0.6917,0.67845,0.7259,0.9534999999999998,0.97615,0.8902000000000001,0.9461499999999999,0.9434000000000001,0.96235
24,0.7619999999999999,0.69115,0.6764,0.7222999999999999,0.9300499999999999,0.9404999999999999,0.8519500000000001,0.9299499999999998,0.9157,0.96175
23,0.7803000000000001,0.7087,0.68475,0.7246500000000001,0.90335,0.9225999999999999,0.8501,0.8840999999999999,0.931,0.98285
22,0.7792,0.6969000000000001,0.6802999999999999,0.7429500000000001,0.8970500000000001,0.9332500000000001,0.7636499999999999,0.9097,0.8858,0.8103999999999999
21,0.7661,0.70695,0.68405,0.7496,0.8430500000000001,0.9394000000000002,0.79045,0.8545,0.9022,0.8643000000000001
20,0.7278,0.72685,0.6917,0.7414,0.84855,0.8939999999999999,0.7918,0.8673,0.8001000000000001,0.8065
19,0.7552,0.7113,0.6901999999999999,0.73835,0.8269499999999999,0.8567,0.75315,0.76605,0.8266,0.8983500000000001
18,0.7599500000000001,0.69105,0.7044,0.76375,0.7701499999999999,0.8163499999999999,0.67355,0.7391,0.8439,0.845
17,0.7236999999999999,0.7211,0.7189,0.7401000000000001,0.8051999999999999,0.8320500000000001,0.6942999999999999,0.7567,0.8248000000000001,0.78285
16,0.6918999999999998,0.7168500000000001,0.7253000000000001,0.73885,0.77395,0.8022499999999999,0.67355,0.77835,0.8503999999999999,0.7866
15,0.68025,0.72085,0.7292,0.72625,0.7788,0.75645,0.6735,0.72685,0.7722,0.7497999999999999
14,0.7016000000000001,0.7490500000000001,0.73335,0.7279,0.55975,0.7006,0.67355,0.6700999999999999,0.6363,0.66805
13,0.6835,0.6980000000000001,0.7657,0.72695,0.72805,0.6660999999999999,0.6748,0.6999000000000001,0.7223499999999999,0.7567999999999999
12,0.6693,0.75355,0.7053999999999999,0.7421499999999999,0.7877000000000001,0.6324500000000001,0.67355,0.6722,0.6456,0.5786
11,0.70415,0.6697500000000001,0.70495,0.7011999999999999,0.7201500000000001,0.5612999999999999,0.6735,0.54055,0.6526500000000001,0.7019500000000001
10,0.7038000000000001,0.6388999999999999,0.7013499999999999,0.6996,0.6537499999999999,0.54185,0.6735,0.5616,0.61065,0.6026999999999999
9,0.6957500000000001,0.66465,0.6818000000000001,0.7076,0.4951500000000001,0.5801000000000001,0.6735,0.6698,0.6419,0.6004499999999999
8,0.6523,0.6942,0.70565,0.6769999999999999,0.55945,0.552,0.6735,0.5289,0.60845,0.5094
7,0.6732500000000001,0.6111,0.6495500000000001,0.64315,0.6329,0.48250000000000004,0.6735,0.4991499999999999,0.5242,0.4694999999999999
6,0.6447499999999999,0.63335,0.62995,0.6244999999999999,0.45210000000000006,0.55205,0.6735,0.48230000000000006,0.53285,0.57325
5,0.6429,0.4820500000000001,0.6062500000000001,0.60365,0.44405,0.4943000000000001,0.6735,0.5327,0.43165,0.493
4,0.6682999999999999,0.51875,0.6442500000000001,0.5856,0.44370000000000004,0.4277,0.6735,0.41514999999999996,0.47585000000000005,0.39245
3,0.65125,0.41055,0.429,0.5465500000000001,0.40235000000000004,0.43034999999999995,0.6735,0.4281499999999999,0.39494999999999997,0.43205
2,0.6406499999999999,0.38020000000000004,0.47074999999999995,0.45709999999999995,0.35995,0.33275000000000005,0.6735,0.40599999999999997,0.40004999999999996,0.39755
1,0.6535,0.39275000000000004,0.46085000000000004,0.367,0.34385,0.33045,0.6735,0.36225000000000007,0.36835000000000007,0.34354999999999997
