num_features,CompleteRandomForest,XGB,DenoisingGraphEncoder,DAE,RandomForest,AdaBoost,LGBM
53,0.7375,0.7625,0.70625,0.73125,0.7375,0.7437500000000001,0.7750000000000001
52,0.7375,0.759375,0.708125,0.7293749999999999,0.7418750000000001,0.7418750000000001,0.769375
51,0.7312500000000001,0.754375,0.7075,0.729375,0.7437500000000001,0.7437500000000001,0.7612500000000001
50,0.7381249999999999,0.745,0.71375,0.7262500000000001,0.74,0.74125,0.7675
49,0.74,0.746875,0.7175,0.7275000000000001,0.7506249999999999,0.7375,0.768125
48,0.7393750000000001,0.755625,0.711875,0.724375,0.745,0.738125,0.7725
47,0.733125,0.7324999999999999,0.7156250000000001,0.7262500000000001,0.7393750000000001,0.7387500000000001,0.7587499999999999
46,0.7368750000000001,0.739375,0.713125,0.7275,0.7318749999999999,0.735625,0.7449999999999999
45,0.7418750000000001,0.7249999999999999,0.7143750000000001,0.7224999999999999,0.750625,0.7306250000000001,0.72625
44,0.7325,0.7493749999999999,0.7137500000000001,0.733125,0.7462500000000001,0.740625,0.7324999999999999
43,0.733125,0.6956249999999999,0.721875,0.72875,0.74,0.739375,0.75625
42,0.73125,0.7393750000000001,0.71625,0.7387499999999999,0.7362500000000001,0.734375,0.7506250000000001
41,0.7343749999999999,0.6943750000000001,0.71625,0.72375,0.7393750000000001,0.728125,0.735625
40,0.731875,0.67375,0.72,0.7274999999999999,0.740625,0.7306250000000001,0.7274999999999999
39,0.7306250000000001,0.6768750000000001,0.725,0.723125,0.739375,0.724375,0.741875
38,0.736875,0.7256250000000001,0.721875,0.725625,0.73875,0.7281250000000001,0.73
37,0.733125,0.6612500000000001,0.7174999999999999,0.72125,0.7268749999999999,0.729375,0.70875
36,0.7381249999999999,0.7025,0.7318749999999999,0.728125,0.7368750000000001,0.73875,0.715625
35,0.7350000000000001,0.70875,0.720625,0.7200000000000001,0.7237500000000001,0.7106250000000001,0.720625
34,0.73875,0.693125,0.725,0.724375,0.7418750000000001,0.7318749999999999,0.72125
33,0.72625,0.67125,0.72375,0.7193750000000001,0.735625,0.7318749999999999,0.7187500000000001
32,0.7318749999999999,0.656875,0.7325,0.7206250000000001,0.7281249999999999,0.7300000000000001,0.7143750000000001
31,0.7181249999999999,0.6668749999999999,0.7175,0.7206250000000001,0.7274999999999999,0.718125,0.6850000000000002
30,0.71875,0.6412499999999999,0.7225,0.7262500000000001,0.72375,0.7200000000000001,0.703125
29,0.724375,0.630625,0.723125,0.7162499999999999,0.725625,0.714375,0.7274999999999999
28,0.71375,0.688125,0.719375,0.7318749999999999,0.7181249999999999,0.7087500000000001,0.720625
27,0.7362499999999998,0.6556249999999999,0.720625,0.72,0.7193750000000001,0.71125,0.6925000000000001
26,0.72,0.6137499999999999,0.7262500000000001,0.7262500000000001,0.720625,0.714375,0.724375
25,0.716875,0.6187500000000001,0.7231249999999999,0.724375,0.7150000000000001,0.7187500000000001,0.6993750000000001
24,0.7274999999999999,0.5774999999999999,0.72,0.71875,0.7168749999999999,0.7162500000000002,0.7
23,0.719375,0.6381249999999999,0.718125,0.72,0.7175,0.721875,0.6993750000000001
22,0.7318749999999999,0.62,0.7224999999999999,0.720625,0.7225,0.7125000000000001,0.69625
21,0.7137500000000001,0.6375,0.715625,0.725,0.7175,0.724375,0.713125
20,0.71875,0.6106250000000001,0.7093750000000001,0.72375,0.7237500000000001,0.7181250000000001,0.670625
19,0.708125,0.655,0.7224999999999999,0.715625,0.718125,0.71875,0.698125
18,0.720625,0.5525,0.72125,0.716875,0.7150000000000001,0.716875,0.711875
17,0.7125,0.55,0.716875,0.7106250000000001,0.7175,0.7025,0.7056250000000001
16,0.7156250000000001,0.641875,0.71875,0.715625,0.7187500000000001,0.729375,0.7100000000000001
15,0.71625,0.5875000000000001,0.7175,0.721875,0.7137500000000001,0.7206250000000001,0.670625
14,0.7081250000000001,0.565625,0.7237500000000001,0.71125,0.7143750000000001,0.7150000000000001,0.7068749999999999
13,0.713125,0.55375,0.7050000000000001,0.7206250000000001,0.7175,0.713125,0.6843750000000001
12,0.7156250000000001,0.5362500000000001,0.7112499999999999,0.71625,0.71375,0.7162500000000002,0.70875
11,0.7075,0.53625,0.7125,0.71625,0.7093749999999999,0.706875,0.701875
10,0.7125000000000001,0.545,0.716875,0.7150000000000001,0.71125,0.7168750000000002,0.7100000000000001
9,0.716875,0.566875,0.7075,0.718125,0.7125,0.7100000000000002,0.6950000000000001
8,0.7143750000000001,0.6331249999999999,0.7106250000000001,0.7168750000000002,0.706875,0.7125000000000001,0.7025000000000001
7,0.715625,0.47437500000000005,0.7187500000000001,0.7118749999999999,0.71125,0.7125000000000001,0.7093750000000002
6,0.7143750000000001,0.56375,0.71375,0.710625,0.7143750000000001,0.7125000000000001,0.7025
5,0.7137500000000001,0.5575,0.711875,0.709375,0.706875,0.7125000000000001,0.7125000000000001
4,0.7125000000000001,0.5037499999999999,0.7075,0.7093750000000001,0.7106250000000001,0.70875,0.7037500000000001
3,0.711875,0.568125,0.711875,0.7106250000000001,0.711875,0.70875,0.7125000000000001
2,0.7106250000000001,0.5850000000000001,0.7150000000000001,0.7093750000000001,0.7137500000000001,0.7125000000000001,0.7125000000000001
1,0.70625,0.6056250000000001,0.7137500000000001,0.7106250000000001,0.7125000000000001,0.7125000000000001,0.7125000000000001
