num_features,NeuralNetwork,TeacherStudents,DAE,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
65,0.9549999999999998,0.9350000000000002,0.9399999999999998,0.9350000000000002,0.9399999999999998,0.945,0.9350000000000002,0.945
64,0.9515,0.9380000000000001,0.9399999999999998,0.933,0.9319999999999998,0.945,0.93,0.9395
63,0.9385,0.9359999999999999,0.942,0.9265000000000001,0.8949999999999999,0.9334999999999999,0.9330000000000002,0.9390000000000001
62,0.9305,0.937,0.9429999999999998,0.9305,0.9274999999999999,0.9369999999999999,0.9359999999999999,0.925
61,0.913,0.9295,0.9434999999999999,0.9275,0.8825,0.9390000000000001,0.929,0.9145
60,0.917,0.931,0.9395,0.9235000000000001,0.9084999999999999,0.9385,0.9184999999999999,0.9339999999999999
59,0.908,0.9274999999999999,0.9385,0.9255000000000001,0.9115,0.9299999999999999,0.925,0.9145
58,0.922,0.9114999999999999,0.9385,0.915,0.9219999999999999,0.898,0.9120000000000001,0.9040000000000001
57,0.9215,0.9225,0.9285,0.922,0.8324999999999999,0.9325000000000001,0.915,0.9015000000000001
56,0.9109999999999999,0.9109999999999999,0.9339999999999999,0.921,0.8385,0.9055,0.8979999999999999,0.9059999999999999
55,0.873,0.9075,0.933,0.908,0.851,0.9114999999999999,0.9075000000000001,0.9109999999999999
54,0.8525,0.8925000000000001,0.9339999999999999,0.9254999999999999,0.8965,0.9269999999999999,0.9030000000000001,0.8869999999999999
53,0.8630000000000001,0.9009999999999998,0.9414999999999999,0.9059999999999999,0.7234999999999999,0.889,0.8720000000000001,0.8710000000000001
52,0.86,0.9055,0.9295,0.913,0.8545,0.9120000000000001,0.9035,0.8885
51,0.8690000000000001,0.9035,0.9289999999999999,0.9040000000000001,0.8325000000000001,0.9055,0.893,0.893
50,0.8850000000000001,0.8780000000000001,0.9255000000000001,0.9084999999999999,0.8460000000000001,0.892,0.8870000000000001,0.8685
49,0.8299999999999998,0.866,0.9285,0.892,0.8110000000000002,0.893,0.8845000000000001,0.8880000000000001
48,0.836,0.874,0.931,0.8805,0.8375,0.8850000000000001,0.906,0.844
47,0.8155000000000001,0.8564999999999999,0.9205,0.9029999999999999,0.7809999999999999,0.8985,0.8765000000000001,0.8705
46,0.818,0.8805,0.9195,0.9030000000000001,0.8019999999999999,0.8800000000000001,0.884,0.826
45,0.7975,0.8700000000000001,0.925,0.885,0.7565000000000001,0.8795,0.843,0.8390000000000001
44,0.8545,0.8525,0.9205,0.8785000000000001,0.7539999999999999,0.891,0.867,0.8779999999999999
43,0.8644999999999999,0.852,0.9225,0.8875,0.7060000000000001,0.8459999999999999,0.8685,0.8615
42,0.8240000000000001,0.866,0.9100000000000001,0.8815000000000002,0.7525000000000001,0.8615,0.819,0.8465
41,0.8035,0.867,0.909,0.8699999999999999,0.7815,0.8629999999999999,0.8390000000000001,0.851
40,0.8275,0.8355,0.9105000000000001,0.899,0.7354999999999999,0.8625,0.7985,0.8455
39,0.853,0.857,0.9045000000000002,0.8960000000000001,0.7285,0.8685,0.8265,0.828
38,0.8095000000000001,0.833,0.915,0.885,0.7834999999999999,0.8484999999999999,0.792,0.844
37,0.8140000000000001,0.8560000000000001,0.9039999999999999,0.8700000000000001,0.7300000000000001,0.841,0.753,0.8055
36,0.8699999999999999,0.818,0.913,0.8630000000000001,0.6135,0.8535,0.8,0.8195
35,0.813,0.8424999999999999,0.9185000000000001,0.866,0.6235,0.8375,0.7959999999999999,0.842
34,0.835,0.8414999999999999,0.9155000000000001,0.833,0.7220000000000001,0.8164999999999999,0.833,0.8055
33,0.836,0.8514999999999999,0.914,0.8480000000000001,0.6415000000000001,0.783,0.813,0.8055
32,0.7929999999999999,0.8285,0.8935000000000001,0.86,0.644,0.8139999999999998,0.7370000000000001,0.8164999999999999
31,0.834,0.825,0.9045000000000002,0.8545,0.692,0.8139999999999998,0.7655,0.8065
30,0.7455,0.8185,0.8939999999999999,0.7645,0.6075,0.8174999999999999,0.7525000000000001,0.764
29,0.786,0.812,0.915,0.8309999999999998,0.6,0.8105,0.7365,0.8019999999999999
28,0.8125,0.825,0.8995000000000001,0.7965000000000001,0.577,0.7924999999999999,0.7809999999999999,0.7415
27,0.7304999999999999,0.736,0.884,0.786,0.5925,0.8099999999999999,0.7585,0.7529999999999999
26,0.7185,0.7835000000000001,0.8865000000000001,0.8404999999999999,0.6495,0.8164999999999999,0.7350000000000001,0.744
25,0.7474999999999999,0.7585,0.8915000000000001,0.791,0.575,0.7830000000000001,0.7344999999999999,0.7779999999999999
24,0.8094999999999999,0.7715,0.8875,0.783,0.6040000000000001,0.8299999999999998,0.7325000000000002,0.7525
23,0.737,0.7515000000000001,0.8779999999999999,0.7945,0.6200000000000001,0.8285,0.7140000000000001,0.7424999999999999
22,0.6904999999999999,0.7535000000000001,0.882,0.7859999999999999,0.5675000000000001,0.7455,0.7635000000000001,0.7244999999999999
21,0.703,0.7070000000000001,0.8705,0.8125,0.5210000000000001,0.7689999999999999,0.6675,0.7415
20,0.7474999999999998,0.7355,0.8755000000000001,0.7645,0.5890000000000001,0.7404999999999999,0.718,0.7225
19,0.6955,0.6995,0.8585,0.748,0.635,0.744,0.682,0.695
18,0.7205,0.7195,0.8435,0.6885000000000001,0.5615,0.7805,0.6145,0.7165
17,0.7084999999999999,0.725,0.874,0.7645,0.592,0.735,0.6925,0.6195000000000002
16,0.7115,0.667,0.8375,0.7205,0.5175000000000001,0.7135,0.5705,0.7459999999999999
15,0.6765,0.6605,0.8385,0.708,0.5625,0.7484999999999999,0.5535,0.6759999999999999
14,0.6675,0.632,0.8234999999999999,0.757,0.5575000000000001,0.681,0.6194999999999999,0.635
13,0.6399999999999999,0.7010000000000001,0.819,0.711,0.49000000000000005,0.7185,0.586,0.6620000000000001
12,0.6575,0.683,0.8165000000000001,0.67,0.5575,0.6665,0.582,0.5860000000000001
11,0.6684999999999999,0.622,0.8245000000000001,0.6839999999999999,0.49000000000000005,0.6904999999999999,0.5535,0.6275000000000001
10,0.6709999999999999,0.633,0.8275,0.697,0.5125,0.5995,0.6035,0.6689999999999999
9,0.6415,0.6195,0.818,0.6699999999999999,0.49000000000000005,0.6735,0.585,0.623
8,0.576,0.5959999999999999,0.7789999999999999,0.6519999999999999,0.535,0.595,0.578,0.6035
7,0.7325000000000002,0.5845,0.751,0.5995,0.5125,0.6465,0.5835,0.5805
6,0.715,0.5785,0.7595,0.5319999999999999,0.5575000000000001,0.5875000000000001,0.5515,0.5465
5,0.576,0.583,0.728,0.596,0.49000000000000005,0.5435,0.5289999999999999,0.564
4,0.5934999999999999,0.5355,0.658,0.5290000000000001,0.4995,0.6024999999999998,0.538,0.5730000000000001
3,0.5800000000000001,0.542,0.749,0.49000000000000005,0.5125,0.558,0.51,0.5485
2,0.5315,0.5654999999999999,0.6740000000000002,0.5245,0.49000000000000005,0.526,0.5189999999999999,0.518
1,0.5025,0.48599999999999993,0.5860000000000001,0.49000000000000005,0.49000000000000005,0.51,0.51,0.51
